SKU,Item name,Shop Section,Price,Materials Cost,Time to make,Date listed,Listing Title,Listing Link
MGSLaatV2Clr,MGS LAAT stand (clear),MGS,$4.00,,,05/28/23,Clone Wars 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSLaatV2Blk,MGS LAAT stand (black),MGS,$4.00,,,05/28/23,Clone Wars 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSVwingClr,MGS V-wing stand (clear),MGS,$3.50,,,05/28/23,Clone Wars 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSVwingBlk,MGS V-wing stand (black),MGS,$3.50,,,05/28/23,Clone Wars 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSMarauderV2Blk,MGS BB Marauder (black),MGS,$4.00,,,01/05/24,Bad Batch Marauder Flight Stand (for Micro Galaxy Squadron),
MGSMarauderV2Clr,MGS BB Marauder (clear),MGS,$4.00,,,01/05/24,Bad Batch Marauder Flight Stand (for Micro Galaxy Squadron),
MGSAwingBlk,MGS A-wing/Snowspeeder stand (clear),MGS,$3.50,,,01/22/24,A-wing & Snowspeeder 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSAwingClr,MGS A-wing/Snowspeeder stand (black),MGS,$3.50,,,01/22/24,A-wing & Snowspeeder 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSJediIntBlk,MGS Jedi Interceptor stand (black),MGS,$3.50,,,03/29/23,Jedi ships 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSJediIntClr,MGS Jedi Interceptor stand (clear),MGS,$3.50,,,03/29/23,Jedi ships 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSJediFtrClr,MGS Jedi Fighter stands set (clear),MGS,$3.50,,,03/29/23,Jedi ships 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSJediFtrBlk,MGS Jedi Fighter stands set (black),MGS,$3.50,,,03/29/23,Jedi ships 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSYwngBlk,MGS Y-wing stand (black),MGS,$3.50,,,06/30/23,B-wing & Y-wing StarFighter 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSYwngClr,MGS Y-wing stand (clear),MGS,$3.50,,,06/30/23,B-wing & Y-wing StarFighter 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSBwingBlk,MGS B-wing stand (black),MGS,$3.50,,,06/30/23,B-wing & Y-wing StarFighter 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSBwingClr,MGS B-wing stand (clear),MGS,$3.50,,,06/30/23,B-wing & Y-wing StarFighter 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSGrvsBlk,MGS Grievous stand (black),MGS,$3.50,,,01/06/24,Clone Wars Command fighters 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSGrvsClr,MGS Grievous stand (clear),MGS,$3.50,,,01/06/24,Clone Wars Command fighters 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSYodaBlk,MGS Yoda stand (black),MGS,$3.50,,,01/06/24,Clone Wars Command fighters 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSYodaClr,MGS Yoda stand (clear),MGS,$3.50,,,01/06/24,Clone Wars Command fighters 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSNabooN1Blk,MGS Naboo N1 stand (black),MGS,$3.50,,,04/19/24,U-Wing & Naboo N1 3D Printed Flight Stands (for Micro Galaxy Squadron),
MGSNabooN1Clr,MGS Naboo N1 stand (clear),MGS,$3.50,,,04/19/24,U-Wing & Naboo N1 3D Printed Flight Stands (for Micro Galaxy Squadron),
MGSUwingBlk,MGS U-wing stand (black),MGS,$4.00,,,04/19/24,U-Wing & Naboo N1 3D Printed Flight Stands (for Micro Galaxy Squadron),
MGSUwingClr,MGS U-wing stand (clear),MGS,$4.00,,,04/19/24,U-Wing & Naboo N1 3D Printed Flight Stands (for Micro Galaxy Squadron),
MGSRzrCrstBlk,MGS Razorcrest stand (black),MGS,$3.00,,,01/14/24,Grogu's Transports 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSRzrCrstClr,MGS Razorcrest stand (clear),MGS,$3.00,,,01/14/24,Grogu's Transports 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSMandoN1Blk,MGS Mando N1 stand (black),MGS,$3.50,,,01/14/24,Grogu's Transports 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSMandoN1Clr,MGS Mando N1 stand (clear),MGS,$3.50,,,01/14/24,Grogu's Transports 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSspdrBlk,MGS scout stand 3-pack (black),MGS,$4.00,,,08/04/23,Hoth Battle 3D Printed Flight stands (for Micro Galaxy Squadron),
MGSspdrClr,MGS scout stand 3-pack (clear),MGS,$4.00,,,08/04/23,Hoth Battle 3D Printed Flight stands (for Micro Galaxy Squadron),
MGSHothATAT,MGS Hoth AT-AT base,MGS,$4.00,,,08/04/23,Hoth Battle 3D Printed Flight stands (for Micro Galaxy Squadron),
MGSSnowSpdr,MGS Snowspeeder edge stand,MGS,$2.00,,,08/04/23,Hoth Battle 3D Printed Flight stands (for Micro Galaxy Squadron),
MGSVultStdBlk,MGS Vulture Droid stand (clear),MGS,$3.50,,,09/14/23,Vulture Droid 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSVultStdClr,MGS Vulture Droid stand (black),MGS,$3.50,,,09/14/23,Vulture Droid 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSVultLegsTan,MGS Vulture Legs-To-Wings stand (gray),MGS,$2.50,,,09/14/23,Vulture Droid 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSVultLegsGray,MGS Vulture Legs-To-Wings stand (tan),MGS,$2.50,,,09/14/23,Vulture Droid 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSVultHdTan,MGS Vulture droid dummy head (tan),MGS,$2.00,,,09/14/23,Vulture Droid 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSVultHdGray,MGS Vulture droid dummy head (gray),MGS,$2.00,,,09/14/23,Vulture Droid 3D printed Flight Stands (For Micro Galaxy Squadron),
MGSHangarSet,MGS Ladder & Crates set,MGS,$3.00,,,04/27/24,MGS Figure Accessories,
MGSCapeClr,MGS cape stand (clear),MGS,$0.75,,,04/27/24,MGS Figure Accessories,
MGSCapeBlk,MGS cape stand (cblack),MGS,$0.75,,,04/27/24,MGS Figure Accessories,
MGSFigBaseClr,MGS Figure base set (clear),MGS,$3.00,,,04/27/24,MGS Figure Accessories,
MGSFigBaseBlk,MGS Figure base set (black),MGS,$3.00,,,04/27/24,MGS Figure Accessories,
MGSGnvxClr,MGS Ginivex stand (clear),MGS,$3.00,,,04/23/23,Sith collection 3D Printed Flight Stand (for Micro Galaxy Squadron),
MGSGnvxBlk,MGS Ginivex stand (black),MGS,$3.00,,,04/23/23,Sith collection 3D Printed Flight Stand (for Micro Galaxy Squadron),
